index,hour,mean,median,max,count
0,0,147.00858403286125,125.92324492999069,602.7869858666709,324
1,1,122.2014564616575,105.81613756333354,508.59480337999776,324
2,2,121.5897834279013,89.09191993166314,1089.1284462066724,324
3,3,139.7582436781134,120.48500419835182,506.41574050667987,324
4,4,116.74616036675779,88.83654519667289,709.1970845966898,324
5,5,242.6629707137955,217.89336978665597,691.8627690999892,324
6,6,330.06042273197437,260.64865617833857,1496.6785063799944,324
7,7,270.5363764645982,208.24011242333108,3111.9053514266634,324
8,8,208.8376289573808,153.5952923066725,1125.7828252533254,324
9,9,250.40997688256815,167.28335223333124,2666.803375239997,327
10,10,214.33503632816158,160.77320892333591,1789.8316511633311,330
11,11,226.06638925362557,176.70345496998561,1572.880914953359,330
12,12,244.29483374437527,191.26855789665206,1686.2474767099884,330
13,13,213.4228445698629,173.7129438366519,1429.4930677799784,330
14,14,242.28742968060283,153.23639214999275,5348.574165259986,330
15,15,236.70938050761885,179.83933796166457,2928.9803170466585,330
16,16,225.8806471977784,180.68697930665985,1131.0060760300003,330
17,17,563.610645163246,472.4520013550082,2239.5965859399985,330
18,18,342.61127000033053,272.67731893332166,1959.8925177133278,330
19,19,182.57139147894193,140.98697240003094,1815.2923259066665,330
20,20,201.93858856072862,139.13378158664273,1459.6853660999768,330
21,21,179.4617160733876,151.04156192266964,637.3917293399863,330
22,22,200.52043404267647,161.3315211966692,866.1728940466492,330
23,23,144.68861454636462,121.6127993766604,619.3573293133304,330
